cart_id,user_id,product_id,price,timestamp,purchase_completed,category
1,1001,1,59.99,2024-01-01 09:15:00,True,electronics
1,1001,2,29.99,2024-01-01 09:15:00,True,clothing
2,1002,3,199.99,2024-01-01 10:30:00,False,electronics
3,1003,4,49.99,2024-01-01 11:00:00,True,books
3,1003,5,15.99,2024-01-01 11:00:00,True,books
4,1004,6,89.99,2024-01-01 12:45:00,False,home
5,1005,7,129.99,2024-01-01 14:20:00,True,electronics
5,1005,8,39.99,2024-01-01 14:20:00,True,clothing
5,1005,9,19.99,2024-01-01 14:20:00,True,accessories
6,1006,10,249.99,2024-01-01 15:30:00,False,electronics
7,1007,11,19.99,2024-01-01 16:00:00,True,food
7,1007,12,9.99,2024-01-01 16:00:00,True,food
8,1008,13,399.99,2024-01-01 17:15:00,False,electronics
9,1009,14,79.99,2024-01-01 18:30:00,True,home
10,1010,15,49.99,2024-01-01 19:00:00,True,clothing
11,1001,16,299.99,2024-01-02 09:00:00,True,electronics
12,1011,17,59.99,2024-01-02 10:15:00,False,books
13,1012,18,149.99,2024-01-02 11:30:00,True,electronics
14,1013,19,29.99,2024-01-02 12:00:00,True,accessories
15,1014,20,89.99,2024-01-02 13:45:00,False,home
16,1015,21,19.99,2024-01-02 14:30:00,True,food
17,1016,22,129.99,2024-01-02 15:00:00,True,electronics
18,1017,23,39.99,2024-01-02 16:20:00,False,clothing
19,1018,24,199.99,2024-01-02 17:45:00,True,electronics
20,1019,25,69.99,2024-01-02 18:00:00,True,home
